name,image,Trivia,Quotes,Trademark,Nickname,Star Sign,Born,Height:,Awards,Died
Aamir Khan,"https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX86_CR0,0,86,128_AL_.jpg",Was offered the role of Rahul Mehra in Darr (1993).,My son is a harsh critic.,"            Short, yet muscular stature        ",Ace Khan,Pisces,"March 14,      1965      ;Bombay, Maharashtra, India","5'4""(1.62m)",51 wins & 57 nominations.,
Akshay Kumar,"https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY128_CR8,0,86,128_AL_.jpg",Was offered Sanjay Khanna's Anth but refused due to date problems.,"Look at what destiny had in store for me. I married my idol's daughter! I still can't believe it. Who wasn't his fan in the 1970s and 80s? I remember queuing up for hours with parents to watch repeatedly Aradhana, Amar Prem, Kati Patang, Prem Kahani...",            Performs his own stunta        ,Akki,Virgo,"Rajiv Hari Om-Bhatia;September 9,      1967      ;Amritsar, Punjab, India","5'10""(1.78m)",28 wins & 56 nominations.,
Ajay Devgn,"https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY128_CR4,0,86,128_AL_.jpg","In 1993, Ajay Devgan signed Rajeev Kumar's ""Guru Chela"" to be directed by David Dhawan. Starring Mithun Chakraborthy and Ajay Devgan.The film was can celled when Rajeev and David had some personal problems with each other. David received a offer to ...","For 45 years, I have resisted the temptation to get my ears pierced. I have shown such dare-devilry on screen and I'm not afraid of anything. But I was petrified of this gun-piercing. However, now the deed is done.",            His Uniquely Playable Characters On Screen        ,,Aries,"Vishal Veeru Devgan;April 2,      1969      ;New Delhi, India","5'7½""(1.71m)",23 wins & 36 nominations.,
Amjad Khan,"https://m.media-amazon.com/images/M/MV5BOWUzNjU3YTUtOGIyMi00MDk3LTk1NDMtMzY4MDZlNDFhNTFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR44,0,86,128_AL_.jpg","Starred in the shelved film N.C. Films ""Changez Khan""(1977). Starring Shashi Kapoor,Reena Roy,Prem Nath, Amjad Khan,Farida Jalal.Music by Hansraj Behl, Directed by Kedar Kapoor.",,,Gabber Singh,Scorpio,"November 12,      1940      ;Hyderabad, Hyderabad State, British India","5'10""(1.78m)",4 wins & 4 nominations.,"July 27,      1992                                  (age 51)                    ;Bombay, Maharashtra, India"
Amitabh Bachchan,"https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY128_CR3,0,86,128_AL_.jpg","Starred in the shelved film Koncord International's Teen Farishte Starring Dharmendra,Hema Malini,Amitabh Bachchan, Vinod Khanna (Replaced Rishi Kapoor). Produced by Tarun Guru Dutt. Directed by Pramod Chakravorthy. The mahurat was on November ...","The amount of things I have been through and the remarkable ways in which the body has reacted is just phenomenal. No wonder I became religious, because you don't know why something's happening to you and you don't know how you bounced back.",            His baritone voice        ,Bollywood's Shahenshah,Libra,"Amitabh Harivansh Srivastav;October 11,      1942      ;Allahabad, United Provinces, British India [now Uttar Pradesh, India]",6'(1.83m),82 wins & 71 nominations.,
Amol Palekar,"https://m.media-amazon.com/images/M/MV5BNzZhNDQ1YzItNTVlOC00MmVmLTkzMjEtMDFmN2Q0MDU2YmQ3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR13,0,86,128_AL_.jpg",Starred in the shelved film Bhool Bhulaiya (1979) opposite Neelam Mehra.,,,,Sagittarius,"November 24,      1944      ;Bombay, Bombay Presidency, British India","5'6""(1.68m)",3 wins & 4 nominations.,
Abhay Deol,"https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_UX86_CR0,0,86,128_AL_.jpg",His father is Ajit Singh Deol.,,"            Has done majority of work with debutant directors; rather unusual and daring in the context of ""star driven"" Hindi film industry        ",,Pisces,"March 15,      1976      ;Chandigarh, Punjab, India","5'10¾""(1.8m)",4 wins & 7 nominations.,
Akshaye Khanna,"https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY128_CR53,0,86,128_AL_.jpg","During the making of the shelved film Sanam O Sanam, producer , director Barkha Roy ( Reena Roy' sister) approached dad Vinod Khanna with a request . Barkha wanted to launch her 25 year old sister Anju opposite the 18 year old Akshaye Khanna. Vinod ...",,,,Aries,"March 28,      1975      ;Bombay, Maharashtra, India","5'8½""(1.74m)",9 wins & 13 nominations.,
Arshad Warsi,"https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR4,0,86,128_AL_.jpg","Starred in Rajiv Mehra's shelved film "" Hum Tum Aur Woh"". Co starring Mukul Dev, Smriti Mishra, Tannaz Currim.This was in 1998.",,,,Aries,"April 19,      1968      ;Bombay, Maharashtra, India","5'4""(1.62m)",12 wins & 11 nominations.,
Anushka Shetty,"https://m.media-amazon.com/images/M/MV5BZTkxYmU1NmUtNGE4Ni00OWNmLWE5YzktNTJiZTlmMTIyMTM5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR0,0,86,128_AL_.jpg","Fluently speaks Kannada, Hindi, Tamil, Telugu and English languages.",,            Her Innocent Looking Face        ,,Scorpio,"Anushka Shetty;November 7,      1981      ;Mangalore, Karnataka, India","5'7""(1.7m)",5 wins & 13 nominations.,
Atul Kulkarni,"https://m.media-amazon.com/images/M/MV5BY2E1ODI1MGUtYWY1ZS00ZDdlLTg0ZDctNWU1NmJhM2UxYzU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY128_CR0,0,86,128_AL_.jpg",,,,,Virgo,"September 10,      1965      ;Karnataka, India",,4 wins & 8 nominations.,
Asrani,"https://m.media-amazon.com/images/M/MV5BMjEyNDQ4MzUzNF5BMl5BanBnXkFtZTgwNjY3OTczOTE@._V1_UX86_CR0,0,86,128_AL_.jpg","He became a regular feature in films produced by D. Rama Naidu and those movies directed by Hrishikesh Mukherjee, B.R.Chopra, K. Bapaiah, Narayana Rao Dasari, K. Raghavendra Rao, Basu Chatterjee in 1972-1992.",,,,Capricorn,"Govardhan Asrani;January 1,      1941      ;Jaipur, State of Jaipur, British India",,2 wins & 6 nominations.,
Ayushmann Khurrana,"https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY128_CR53,0,86,128_AL_.jpg","During his college days, Ayushmann along with his friends used to get on a train called Pashchim Express and sing songs. In return, the passengers used to give him and his friends money.","If you have a mainstream actor attached to a subject like this (Article 15 (2019)), it reaches out to a wider audience. We want to reach out to people who believe in caste discrimination and if we are able to change the mindset of one person that ...",            Cute Smile        ,Ayush,Virgo,"September 14,      1984      ;Chandigarh, Punjab, India","5'6¼""(1.68m)",26 wins & 17 nominations.,
Aruna Irani,"https://m.media-amazon.com/images/M/MV5BYWIzYjZkZTAtNDM0MS00YjBiLWJlMjItZDY1YTJhNjMxNTExXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX86_CR0,0,86,128_AL_.jpg","Starred in N.K.K. Films ""Pratibadh""(1990) Starring Satish Babbar, Annapoorna,Bandini Mishra,Aruna Irani,Sudhir Dalvi,Mac Mohan,Viju Khote, Gurbachan, Music by Jain Salil, Directed by S. Ramesh.",,,,Leo,"August 18,      1946      ;Bombay, Bombay Presidency, British India",,6 wins & 9 nominations.,
Annu Kapoor,"https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_UY128_CR53,0,86,128_AL_.jpg",Was credited as Anil Kapoor in his first film. He later changed it to Annu Kapoor to avoid confusion with Anil Kapoor'.,,,,Pisces,"February 20,      1956      ;Bhopal, Bhopal State, India",,8 wins & 5 nominations.,
Ashish Vidyarthi,"https://m.media-amazon.com/images/M/MV5BMzk5Mzc5Y2YtYjJjYy00OGIyLTg4MzctZTMxNDBiYzY2MTcxXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_UY128_CR71,0,86,128_AL_.jpg",Son-in-law of Shakuntala Barua.,,,,Gemini,"June 19,      1962      ;Tellicherry, Kerala, India",,4 wins & 3 nominations.,
Adil Hussain,"https://m.media-amazon.com/images/M/MV5BN2Q2YzA4MDMtMzVkYy00ZTMwLTgzN2EtZTc4NTRiODhkNzM3XkEyXkFqcGdeQXVyMjA4ODEzMzE@._V1_UY128_CR10,0,86,128_AL_.jpg",,,,,,,"6'1""(1.85m)",7 wins & 2 nominations.,
Anupam Kher,"https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_UY128_CR2,0,86,128_AL_.jpg",Was the Chair of Central Board of Film Certification in India.,"[on the establishment of a new London training program, ""Actor Prepares""] I am trying to kill off a certain style of clichéd Bollywood acting. It's already dying, so it is the right time to do this international school.",,,Pisces,"March 7,      1955      ;Shimla, Himachal Pradesh, India","5'6""(1.68m)",18 wins & 27 nominations.,
Anil Kapoor,"https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX86_CR0,0,86,128_AL_.jpg",In the early part of his career (1980-1984) many people would mistake him for Raj Kiran and Akbar Khan .This was due to both having the same appearance. This upset Anil Kapoor to no end . The industry would refer him as a Raj Kiran clone and fans ...,Instead of focusing on my looks I focus on the character that I am playing.,,Lakkhan,Capricorn,"December 24,      1956      ;Chembur, State of Bombay, India","5'7""(1.7m)",24 wins & 25 nominations.,
Amrish Puri,"https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR5,0,86,128_AL_.jpg",Grandnephew Rohin Puri is a musician. Rohin is Chaman Puri's grandson.,,,,Cancer,"Amrish Lal Puri;June 22,      1932      ;Nawanshahr, Jullundur, Punjab, British India","5'10""(1.78m)",6 wins & 17 nominations.,"January 12,      2005                                  (age 72)                    ;Mumbai, Maharashtra, India"
Amole Gupte,"https://m.media-amazon.com/images/M/MV5BZmNhMWQyOGYtYmZkMy00ZjdjLWE4N2QtYjc0NzEyZjViZWQzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR7,0,86,128_AL_.jpg",,,            Directs movies with children as main protagonists        ,,,,,4 wins & 7 nominations.,
Boman Irani,"https://m.media-amazon.com/images/M/MV5BNTc4ZjFlMjUtODU3MS00M2JhLTlkMzEtMmIyODFiMjAwZmJhXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY128_CR38,0,86,128_AL_.jpg",His father passed away from Nephritis when he was 28. Boman was yet to be born.,,,,Sagittarius,"December 2,      1959      ;Bombay, State of Bombay, India","5'10½""(1.79m)",5 wins & 14 nominations.,
